chi_gene	Ensembl Gene ID	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Chromosome Name
CARHR018010	AT1G17420	5977411	5981480	LOX3	lipoxygenase 3 [Source:EMBL;Acc:AEE29585.1]	1
CARHR018020	AT1G17430	5982267	5984013	AT1G17430	alpha/beta-hydrolase domain-containing protein [Source:EMBL;Acc:AEE29586.1]	1
CARHR018030	AT1G17440	5983984	5987784	EER4	Transcription initiation factor TFIID subunit A [Source:EMBL;Acc:AEE29588.1]	1
CARHR018040	AT1G17450	5988280	5996785	AT1G17450	B-block binding subunit of TFIIIC [Source:EMBL;Acc:AEE29589.1]	1
CARHR018050	AT1G17455	5997180	5998475	ELF4-L4	protein ELF4-like 4 [Source:EMBL;Acc:AEE29592.1]	1
CARHR018060	AT1G17460	5998814	6002716	TRFL3	protein TRF-like 3 [Source:EMBL;Acc:AEE29593.1]	1
CARHR018070	AT1G17470	6002912	6006405	ATDRG	developmentally regulated G-protein 1 [Source:EMBL;Acc:AEE29596.1]	1
CARHR018080	AT1G17480	6006461	6008266	IQD7	protein IQ-domain 7 [Source:EMBL;Acc:AEE29597.1]	1
CARHR018090	AT1G17490	6008589	6009420	AT1G17490	uncharacterized protein [Source:EMBL;Acc:AEE29598.1]	1
CARHR018100	AT1G17500	6018757	6023503	AT1G17500	phospholipid-translocating ATPase [Source:EMBL;Acc:AEE29599.1]	1
CARHR018110	AT1G17510	6023504	6024309	AT1G17510	uncharacterized protein [Source:EMBL;Acc:AEE29600.1]	1
CARHR018120	AT1G17520	6024636	6027385	AT1G17520	Homeodomain-like/winged-helix DNA-binding protein [Source:EMBL;Acc:AEE29601.1]	1
CARHR018130	AT1G17530	6027631	6028506	ATTIM23-1	translocase of inner mitochondrial membrane 23 [Source:EMBL;Acc:AEE29602.1]	1
CARHR018140	AT1G17540	6029277	6032754	AT1G17540	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain [Source:EMBL;Acc:AEE29603.1]	1
CARHR018160	AT1G17550	6034362	6037289	HAB2	protein phosphatase 2C 7 [Source:EMBL;Acc:AEE29605.1]	1
CARHR018170	AT1G17560	6037464	6038692	HLL	large subunit ribosomal protein L14 [Source:EMBL;Acc:AEE29606.1]	1
CARHR018180	AT1G17580	6039303	6049556	MYA1	myosin 1 [Source:EMBL;Acc:AEE29607.1]	1
CARHR018190	AT1G17590	6050193	6052568	NF-YA8	nuclear transcription factor Y subunit A-8 [Source:EMBL;Acc:AEE29611.1]	1
CARHR018200	AT1G17600	6052936	6056664	AT1G17600	TIR-NBS-LRR class disease resistance protein [Source:EMBL;Acc:AEE29612.1]	1
CARHR018210	AT1G17610	6056895	6058357	AT1G17610	Disease resistance protein (TIR-NBS class) [Source:EMBL;Acc:AEE29613.1]	1
CARHR018230	AT1G17620	6062216	6063291	AT1G17620	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Source:EMBL;Acc:AEE29615.1]	1
CARHR018240	AT1G17630	6064525	6066720	AT1G17630	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29616.1]	1
CARHR018250	AT1G17640	6067394	6069098	AT1G17640	RNA recognition motif-containing protein [Source:EMBL;Acc:AEE29617.1]	1
CARHR018260	AT1G17650	6069477	6072012	GLYR2	glyoxylate reductase 2 [Source:EMBL;Acc:AEE29618.1]	1
CARHR018270	AT1G17665	6072253	6074484	AT1G17665	uncharacterized protein [Source:EMBL;Acc:AEE29619.1]	1
CARHR018280	AT1G17680	6076077	6082337	AT1G17680	tetratricopeptide repeat (TPR)-containing protein [Source:EMBL;Acc:AEE29621.1]	1
CARHR018290	AT1G17690	6082755	6088340	NOF1	uncharacterized protein [Source:EMBL;Acc:AEE29622.1]	1
CARHR018300	AT1G17700	6089517	6090323	PRA1.F1	PRA1 family protein F1 [Source:EMBL;Acc:AEE29623.1]	1
CARHR018330	AT1G17720	6093208	6098383	ATB BETA	Protein phosphatase 2A, regulatory subunit PR55 [Source:EMBL;Acc:AEE29626.1]	1
CARHR018340	AT1G17730	6099089	6100315	VPS46.1	vacuolar protein sorting 46.1 [Source:EMBL;Acc:AEE29628.1]	1
CARHR018350	AT1G17745	6100964	6105265	PGDH	D-3-phosphoglycerate dehydrogenase [Source:EMBL;Acc:AEE29630.1]	1
CARHR018360	AT1G17750	6106656	6110120	AtPEPR2	PEP1 receptor 2 [Source:EMBL;Acc:AEE29632.1]	1
CARHR018370	AT1G17760	6110107	6116617	CSTF77	tetratricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29633.1]	1
CARHR018390	AT1G17780	6123701	6125269	AT1G17780	uncharacterized protein [Source:EMBL;Acc:AEE29636.1]	1
CARHR018400	AT1G17790	6125356	6127404	AT1G17790	DNA-binding bromodomain-containing protein [Source:EMBL;Acc:AEE29637.1]	1
CARHR018410	AT1G17800	6128823	6129508	ENODL22	early nodulin-like protein 22 [Source:EMBL;Acc:AEE29638.1]	1
CARHR018420	AT1G17810	6130025	6131627	BETA-TIP	putative aquaporin TIP3-2 [Source:EMBL;Acc:AEE29639.1]	1
CARHR018430	AT1G17820	6131537	6135345	AT1G17820	Putative integral membrane protein conserved region (DUF2404) [Source:EMBL;Acc:AEE29640.1]	1
CARHR018440	AT1G17830	6135803	6138432	AT1G17830	uncharacterized protein [Source:EMBL;Acc:AEE29641.1]	1
CARHR018450	AT1G17840	6142564	6146521	WBC11	ABC transporter G family member 11 [Source:EMBL;Acc:AEE29642.1]	1
CARHR018460	AT1G17850	6145926	6148940	AT1G17850	rhodanese homology domain-containing protein [Source:EMBL;Acc:AEE29644.1]	1
CARHR018470	AT1G17870	6149939	6152222	ATEGY3	ethylene-dependent gravitropism-deficient and yellow-green-like 3 protein [Source:EMBL;Acc:AEE29646.1]	1
CARHR018480	AT1G17860	6149301	6150038	AT1G17860	kunitz type trypsin and protease inhibitor domain-containing protein [Source:EMBL;Acc:AEE29645.1]	1
CARHR018490	AT1G17880	6152409	6153982	BTF3	basic transcription factor 3 [Source:EMBL;Acc:AEE29647.1]	1
CARHR018500	AT1G17890	6154268	6155752	GER2	GDP-L-fucose synthase [Source:EMBL;Acc:AEE29649.1]	1
CARHR018530	AT1G17910	6159126	6161615	AT1G17910	putative wall-associated receptor kinase-like 13 [Source:EMBL;Acc:AEE29651.1]	1
CARHR018540	AT1G17920	6161872	6165382	HDG12	homeobox-leucine zipper protein HDG12 [Source:EMBL;Acc:AEE29652.1]	1
CARHR018550	AT1G17930	6166220	6168839	AT1G17930	Aminotransferase-like, plant mobile domain family protein [Source:EMBL;Acc:AEE29653.1]	1
CARHR018560	AT1G17940	6169341	6173222	AT1G17940	Endosomal targeting BRO1-like domain-containing protein [Source:EMBL;Acc:AEE29654.1]	1
CARHR018570	AT1G17950	6177617	6179289	MYB52	myb domain protein 52 [Source:EMBL;Acc:AEE29655.1]	1
CARHR018580	AT1G17970	6184904	6187472	AT1G17970	RING/U-box domain-containing protein [Source:EMBL;Acc:AEE29657.1]	1
CARHR018590	AT1G17980	6187507	6191708	PAPS1	poly(A) polymerase 1 [Source:EMBL;Acc:AEE29658.1]	1
CARHR018600	AT1G18010	6199898	6201484	AT1G18010	transmembrane transporter-like protein [Source:EMBL;Acc:AEE29663.1]	1
CARHR018610	AT1G18020	6202249	6203918	AT1G18020	putative 12-oxophytodienoate reductase-like protein 2 [Source:EMBL;Acc:AEE29664.1]	1
CARHR018620	AT1G18030	6204343	6206988	AT1G18030	putative protein phosphatase 2C 8 [Source:EMBL;Acc:AEE29666.1]	1
CARHR018630	AT1G18040	6206871	6209500	CDKD1;3	cyclin-dependent kinase D-3 [Source:EMBL;Acc:AEE29667.1]	1
CARHR018640	AT1G18060	6211873	6213444	AT1G18060	uncharacterized protein [Source:EMBL;Acc:AEE29669.1]	1
CARHR018650	AT1G18070	6213725	6218340	AT1G18070	G1 to S phase transition protein [Source:EMBL;Acc:AEE29672.1]	1
CARHR018660	AT1G18080	6222201	6224151	RACK1A	guanine nucleotide-binding protein subunit beta-like protein [Source:EMBL;Acc:AEE29673.1]	1
CARHR018680	AT1G18090	6224501	6227822	AT1G18090	5-3 exonuclease family protein [Source:EMBL;Acc:AEE29674.1]	1
CARHR018690	AT1G18100	6227217	6230188	E12A11	protein MOTHER of FT and TF 1 [Source:EMBL;Acc:AEE29676.1]	1
CARHR018700	AT1G18140	6238844	6241436	LAC1	laccase 1 [Source:EMBL;Acc:AEE29678.1]	1
CARHR018710	AT1G18150	6244298	6247812	ATMPK8	mitogen-activated protein kinase 8 [Source:EMBL;Acc:AEE29681.1]	1
CARHR018720	AT1G18160	6248793	6254039	AT1G18160	protein kinase family protein [Source:EMBL;Acc:AEE29682.1]	1
CARHR018740	AT1G18170	6254229	6255690	AT1G18170	putative FKBP-type peptidyl-prolyl cis-trans isomerase 5 [Source:EMBL;Acc:AEE29683.1]	1
CARHR018750	AT1G18180	6255830	6257900	AT1G18180	uncharacterized protein [Source:EMBL;Acc:AEE29684.1]	1
CARHR018770	AT1G18190	6257851	6261457	GC2	golgin candidate 2 [Source:EMBL;Acc:AEE29685.1]	1
CARHR018780	AT1G18200	6265416	6266937	RABA6b	RAB GTPase homolog A6B [Source:EMBL;Acc:AEE29686.1]	1
CARHR018790	AT1G18210	6266609	6268828	AT1G18210	putative calcium-binding protein CML27 [Source:EMBL;Acc:AEE29688.1]	1
CARHR018800	AT1G18250	6276788	6278150	ATLP-1	Thaumatin-like protein [Source:EMBL;Acc:AEE29691.1]	1
CARHR018810	AT1G18260	6278848	6282103	AT1G18260	Hr.3 like protein [Source:EMBL;Acc:AEE29692.1]	1
CARHR018820	AT1G18265	6282252	6283293	AT1G18265	uncharacterized protein [Source:EMBL;Acc:AEE29693.1]	1
CARHR018830	AT1G18270	6283412	6293871	AT1G18270	ketose-bisphosphate aldolase class-II-like protein [Source:EMBL;Acc:AEE29695.1]	1
CARHR018840	AT1G18280	6294333	6295364	AT1G18280	bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein [Source:EMBL;Acc:AEE29697.1]	1
CARHR018850	AT1G18290	6297364	6298328	AT1G18290	uncharacterized protein [Source:EMBL;Acc:AEE29698.1]	1
CARHR018880	AT1G18310	6301200	6303956	AT1G18310	glycosyl hydrolase family 81 protein [Source:EMBL;Acc:AEE29700.1]	1
CARHR018890	AT3G10110	3116110	3117671	MEE67	Tim17 domain-containing protein [Source:EMBL;Acc:AEE74859.1]	3
CARHR018900	AT1G18330	6305966	6308013	EPR1	early-phytochrome-responsive1 [Source:EMBL;Acc:AEE29702.1]	1
CARHR018920	AT1G18335	6309041	6311326	AT1G18335	acyl-CoA N-acyltransferases-like protein [Source:EMBL;Acc:AEE29704.1]	1
CARHR018940	AT1G18350	6315651	6316738	ATMKK7	MAP kinase kinase 7 [Source:EMBL;Acc:AEE29706.1]	1
CARHR018950	AT1G18360	6316695	6319427	AT1G18360	alpha/beta-hydrolase domain-containing protein [Source:EMBL;Acc:AEE29707.1]	1
CARHR018970	AT1G18370	6319650	6324222	ATNACK1	ATP binding microtubule motor family protein [Source:EMBL;Acc:AEE29708.1]	1
CARHR018990	AT1G18390	6325642	6330098	AT1G18390	protein kinase domain-containing protein [Source:EMBL;Acc:AEE29710.1]	1
CARHR019000	AT1G18400	6331398	6333743	BEE1	transcription factor BEE 1 [Source:EMBL;Acc:AEE29711.1]	1
CARHR019010	AT1G18410	6336528	6342460	AT1G18410	SMC and kinesin motor domain-containing protein [Source:EMBL;Acc:AEE29712.1]	1
CARHR019040	AT1G18420	6343330	6345689	AT1G18420	aluminum activated malate transporter-like protein [Source:EMBL;Acc:AEE29713.1]	1
CARHR019050	AT1G18440	6345974	6347910	AT1G18440	Peptidyl-tRNA hydrolase [Source:EMBL;Acc:AEE29714.1]	1
CARHR019060	AT1G18450	6348107	6351975	ATARP4	actin-related protein 4 [Source:EMBL;Acc:AEE29715.1]	1
CARHR019070	AT1G18460	6352470	6356113	AT1G18460	alpha/beta-hydrolase-like protein [Source:EMBL;Acc:AEE29716.1]	1
CARHR019080	AT1G18470	6356131	6360192	AT1G18470	Transmembrane Fragile-X-F-associated protein [Source:EMBL;Acc:AEE29718.1]	1
CARHR019090	AT1G18485	6363172	6366235	AT1G18485	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29720.1]	1
CARHR019100	AT1G18480	6361629	6363007	AT1G18480	calcineurin-like phosphoesterase family protein [Source:EMBL;Acc:AEE29719.1]	1
CARHR019110	AT1G18490	6366520	6368849	AT1G18490	uncharacterized protein [Source:EMBL;Acc:AEE29722.1]	1
CARHR019120	AT1G18500	6369347	6373025	MAML-4	2-isopropylmalate synthase [Source:EMBL;Acc:AEE29723.1]	1
CARHR019130	AT1G18510	6373295	6374090	TET16	tetraspanin 16 [Source:EMBL;Acc:AEE29724.1]	1
CARHR019140	AT1G18520	6374932	6376316	TET11	tetraspanin11 [Source:EMBL;Acc:AEE29725.1]	1
CARHR019150	AT1G18530	6376783	6377256	AT1G18530	putative calcium-binding protein CML15 [Source:EMBL;Acc:AEE29726.1]	1
CARHR019160	AT1G18540	6377321	6378580	AT1G18540	60S ribosomal protein L6-1 [Source:EMBL;Acc:AEE29727.1]	1
CARHR019170	AT1G18550	6381503	6384340	AT1G18550	ATP binding microtubule motor family protein [Source:EMBL;Acc:AEE29728.1]	1
CARHR019180	AT1G18560	6385449	6388080	AT1G18560	BED zinc finger and hAT dimerization domain-containing protein [Source:EMBL;Acc:AEE29729.1]	1
CARHR019190	AT1G18570	6389411	6391267	BW51A	myb domain protein 51 [Source:EMBL;Acc:AEE29730.1]	1
CARHR019200	AT1G18580	6395864	6398239	GAUT11	alpha-1,4-galacturonosyltransferase [Source:EMBL;Acc:AEE29731.1]	1
CARHR019210	AT1G18590	6398580	6399942	SOT17	sulfotransferase 17 [Source:EMBL;Acc:AEE29732.1]	1
CARHR019220	AT1G18600	6400404	6402791	ATRBL12	RHOMBOID-like protein 12 [Source:EMBL;Acc:AEE29733.1]	1
CARHR019230	AT1G18610	6405645	6409297	AT1G18610	galactose oxidase/kelch repeat domain-containing protein [Source:EMBL;Acc:AEE29734.1]	1
CARHR019240	AT1G18620	6409978	6414451	AT1G18620	uncharacterized protein [Source:EMBL;Acc:AEE29735.1]	1
CARHR019260	AT1G18630	6414725	6416459	GR-RBP6	glycine-rich RNA-binding protein 6 [Source:EMBL;Acc:AEE29737.1]	1
CARHR019270	AT1G18640	6416357	6418690	PSP	phosphoserine phosphatase [Source:EMBL;Acc:AEE29738.1]	1
CARHR019280	AT1G18650	6418858	6420557	PDCB3	plasmodesmata callose-binding protein 3 [Source:EMBL;Acc:AEE29739.1]	1
CARHR019290	AT1G18660	6421117	6425880	AT1G18660	zinc finger (C3HC4-type RING finger) family protein [Source:EMBL;Acc:AEE29740.1]	1
CARHR019300	AT1G18670	6426898	6430696	IBS1	protein kinase domain-containing protein [Source:EMBL;Acc:AEE29744.1]	1
CARHR019310	AT1G18680	6431938	6433464	AT1G18680	HNH endonuclease domain-containing protein [Source:EMBL;Acc:AEE29745.1]	1
CARHR019320	AT1G18700	6437477	6444076	AT1G18700	DNAJ heat shock N-terminal domain-containing protein [Source:EMBL;Acc:AEE29747.1]	1
CARHR019330	AT1G18710	6450594	6453114	AtMYB47	myb domain protein 47 [Source:EMBL;Acc:AEE29751.1]	1
CARHR019350	AT1G18720	6457821	6459751	AT1G18720	uncharacterized protein [Source:EMBL;Acc:AEE29752.1]	1
CARHR019370	AT1G18730	6460598	6462224	NDF6	NDH dependent flow 6 protein [Source:EMBL;Acc:AEE29756.1]	1
CARHR019380	AT1G18740	6463922	6465476	AT1G18740	uncharacterized protein [Source:EMBL;Acc:AEE29757.1]	1
CARHR019390	AT1G18750	6466761	6469984	AGL65	protein AGAMOUS-like 65 [Source:EMBL;Acc:AEE29759.1]	1
CARHR019440	AT1G18790	6478851	6480043	AT1G18790	RWP-RK domain-containing protein [Source:EMBL;Acc:AEE29764.1]	1
CARHR019450	AT1G18800	6481113	6483596	NRP2	template-activating factor I [Source:EMBL;Acc:AEE29765.1]	1
CARHR019460	AT1G18810	6485596	6487030	AT1G18810	protein phytochrome kinase substrate 3 [Source:EMBL;Acc:AEE29766.1]	1
CARHR019470	AT1G18835	6496098	6496396	MIF3	mini zinc finger [Source:EMBL;Acc:AEE29768.1]	1
CARHR019490	AT1G18840	6500848	6504413	IQD30	protein IQ-domain 30 [Source:EMBL;Acc:AEE29770.1]	1
CARHR019500	AT1G18850	6504806	6506424	AT1G18850	uncharacterized protein [Source:EMBL;Acc:AEE29771.1]	1
CARHR019510	AT1G18860	6509492	6511227	WRKY61	putative WRKY transcription factor 61 [Source:EMBL;Acc:AEE29772.1]	1
CARHR019520	AT1G18870	6515429	6519282	ICS2	Isochorismate synthase 2 [Source:EMBL;Acc:AEE29774.1]	1
CARHR019530	AT1G18880	6520748	6523368	AT1G18880	putative peptide/nitrate transporter [Source:EMBL;Acc:AEE29776.1]	1
CARHR019540	AT1G18890	6522764	6525962	ATCDPK1	calcium-dependent protein kinase 1 [Source:EMBL;Acc:AEE29777.1]	1
CARHR019550	AT1G18900	6528984	6532614	AT1G18900	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29779.1]	1
CARHR019560	AT1G18910	6532559	6538145	AT1G18910	zinc ion binding protein [Source:EMBL;Acc:AEE29781.1]	1
CARHR019570	AT1G18940	6543852	6545592	AT1G18940	nodulin-like and major facilitator domain-containing protein [Source:EMBL;Acc:AEE29782.1]	1
CARHR019580	AT1G18950	6546399	6551887	AT1G18950	DDT domain-containing protein [Source:EMBL;Acc:AEE29783.1]	1
CARHR019590	AT1G18960	6552752	6553940	AT1G18960	myb-like HTH transcriptional regulator-like protein [Source:EMBL;Acc:AEE29784.1]	1
CARHR019600	AT1G18980	6557254	6558045	AT1G18980	germin-like protein subfamily T member 2 [Source:EMBL;Acc:AEE29786.1]	1
CARHR019610	AT1G18990	6558678	6560489	AT1G18990	uncharacterized protein [Source:EMBL;Acc:AEE29787.1]	1
CARHR019620	AT1G19000	6560792	6562786	AT1G19000	myb family transcription factor [Source:EMBL;Acc:AEE29789.1]	1
CARHR019630	AT1G19010	6565494	6567525	AT1G19010	uncharacterized protein [Source:EMBL;Acc:AEE29791.1]	1
CARHR019640	AT1G19020	6568073	6568597	AT1G19020	uncharacterized protein [Source:EMBL;Acc:AEE29792.1]	1
CARHR019650	AT1G19025	6568853	6570939	AT1G19025	DNA repair metallo-beta-lactamase family protein [Source:EMBL;Acc:AEE29793.1]	1
CARHR019660	AT1G19050	6577833	6579178	ARR7	two-component response regulator ARR7 [Source:EMBL;Acc:AEE29795.1]	1
CARHR019680	AT1G19090	6590245	6592816	RKF2	receptor-like serine/threonine kinase 2 [Source:EMBL;Acc:AEE29801.1]	1
CARHR019690	AT1G19100	6594930	6601355	AT1G19100	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein [Source:EMBL;Acc:AEE29802.1]	1
CARHR019700	AT1G19110	6602126	6605908	AT1G19110	inter-alpha-trypsin inhibitor heavy chain-like protein [Source:EMBL;Acc:AEE29803.1]	1
CARHR019710	AT1G19115	6606237	6607943	AT1G19115	uncharacterized protein [Source:EMBL;Acc:AEE29806.1]	1
CARHR019720	AT1G19120	6608115	6609369	AT1G19120	Small nuclear ribonucleoprotein family protein [Source:EMBL;Acc:AEE29807.1]	1
CARHR019730	AT1G19130	6609325	6610613	AT1G19130	uncharacterized protein [Source:EMBL;Acc:AEE29808.1]	1
CARHR019740	AT1G19140	6610721	6612516	AT1G19140	uncharacterized protein [Source:EMBL;Acc:AEE29809.1]	1
CARHR019750	AT1G19150	6612749	6613972	LHCA6	light-harvesting complex I chlorophyll a/b binding protein 2 [Source:EMBL;Acc:AEE29811.1]	1
CARHR019760	AT5G52610	21346423	21347478	AT5G52610	putative F-box protein [Source:EMBL;Acc:AED96241.1]	5
CARHR019770	AT1G19170	6616643	6618986	AT1G19170	Pectin lyase-like protein [Source:EMBL;Acc:AEE29813.1]	1
CARHR019780	AT1G19180	6622094	6623620	JAZ1	protein TIFY 10A [Source:EMBL;Acc:AEE29815.1]	1
CARHR019790	AT1G19190	6623876	6624977	AT1G19190	alpha/beta-hydrolase-like protein [Source:EMBL;Acc:AEE29816.1]	1
CARHR019800	AT1G19200	6625020	6625856	AT1G19200	uncharacterized protein [Source:EMBL;Acc:AEE29817.1]	1
CARHR019810	AT1G19210	6626822	6627530	AT1G19210	ethylene-responsive transcription factor ERF017 [Source:EMBL;Acc:AEE29818.1]	1
CARHR019820	AT1G19220	6628068	6633087	ARF11	auxin response factor 19 [Source:EMBL;Acc:AEE29819.1]	1
CARHR019830	AT1G19230	6644189	6649375	AT1G19230	riboflavin synthase-like protein [Source:EMBL;Acc:AEE29821.1]	1
CARHR019840	AT1G19240	6649243	6650420	AT1G19240	uncharacterized protein [Source:EMBL;Acc:AEE29822.1]	1
CARHR019850	AT1G19250	6650529	6653078	FMO1	putative flavin-containing monooxygenase 1 [Source:EMBL;Acc:AEE29823.1]	1
CARHR019870	AT1G19270	6662501	6666028	DA1	protein DA1 [Source:EMBL;Acc:AEE29825.1]	1
CARHR019880	AT1G19290	6666249	6668963	AT1G19290	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29826.1]	1
CARHR019890	AT1G19300	6671137	6672653	GATL1	putative galacturonosyltransferase-like 1 [Source:EMBL;Acc:AEE29827.1]	1
CARHR019900	AT1G19310	6676234	6677673	AT1G19310	RING/U-box domain-containing protein [Source:EMBL;Acc:AEE29828.1]	1
CARHR019910	AT1G19320	6679281	6680252	AT1G19320	pathogenesis-related thaumatin-like protein [Source:EMBL;Acc:AEE29829.1]	1
CARHR019920	AT1G19330	6680563	6683533	AT1G19330	uncharacterized protein [Source:EMBL;Acc:AEE29832.1]	1
CARHR019930	AT1G19340	6684751	6687116	AT1G19340	methyltransferase MT-A70-like protein [Source:EMBL;Acc:AEE29833.1]	1
CARHR019940	AT1G19350	6688522	6690414	BES1	protein brassinazole-resistant 2 [Source:EMBL;Acc:AEE29838.1]	1
CARHR019950	AT1G19360	6690456	6692477	AT1G19360	Nucleotide-diphospho-sugar transferase family protein [Source:EMBL;Acc:AEE29839.1]	1
CARHR019960	AT1G19370	6692764	6694934	AT1G19370	uncharacterized protein [Source:EMBL;Acc:AEE29840.1]	1
CARHR019970	AT1G19380	6698058	6698824	AT1G19380	uncharacterized protein [Source:EMBL;Acc:AEE29841.1]	1
CARHR019980	AT1G19390	6700772	6703368	AT1G19390	putative wall-associated receptor kinase-like 11 [Source:EMBL;Acc:AEE29842.1]	1
CARHR019990	AT1G19400	6712038	6714252	AT1G19400	Erythronate-4-phosphate dehydrogenase family protein [Source:EMBL;Acc:AEE29849.1]	1
CARHR020000	AT1G19410	6714492	6716439	AT1G19410	FBD / Leucine Rich Repeat domains containing protein [Source:EMBL;Acc:AEE29850.1]	1
CARHR020010	AT1G19430	6724573	6728040	AT1G19430	putative methyltransferase PMT28 [Source:EMBL;Acc:AEE29851.1]	1
CARHR020020	AT1G19440	6728984	6730931	KCS4	3-ketoacyl-CoA synthase 4 [Source:EMBL;Acc:AEE29852.1]	1
CARHR020030	AT1G19450	6731434	6734882	AT1G19450	sugar transporter ERD6-like 4 [Source:EMBL;Acc:AEE29853.1]	1
CARHR020050	AT1G19485	6746778	6751507	AT1G19485	transducin/WD-40 repeat-containing protein [Source:EMBL;Acc:AEE29859.1]	1
CARHR020060	AT1G19490	6751673	6753999	AT1G19490	bZIP transcription factor-like protein [Source:EMBL;Acc:AEE29860.1]	1
CARHR020070	AT1G19500	6754786	6755684	AT1G19500	uncharacterized protein [Source:EMBL;Acc:AEE29861.1]	1
CARHR020080	AT1G19510	6756284	6757377	ATRL5	RAD-like 5 protein [Source:EMBL;Acc:AEE29862.1]	1
CARHR020090	AT1G19520	6759965	6762778	NFD5	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29864.1]	1
CARHR020100	AT1G19530	6763915	6764971	AT1G19530	uncharacterized protein [Source:EMBL;Acc:AEE29865.1]	1
CARHR020110	AT1G19540	6765667	6767341	AT1G19540	NmrA-like negative transcriptional regulator-like protein [Source:EMBL;Acc:AEE29866.1]	1
CARHR020120	AT1G19570	6773302	6774528	ATDHAR1	glutathione S-transferase DHAR1 [Source:EMBL;Acc:AEE29868.1]	1
CARHR020130	AT1G19580	6774760	6777456	GAMMA CA1	gamma carbonic anhydrase 1 [Source:EMBL;Acc:AEE29871.1]	1
CARHR020140	AT1G19600	6778988	6781173	AT1G19600	pfkB-type carbohydrate kinase-like protein [Source:EMBL;Acc:AEE29872.1]	1
CARHR020150	AT1G19630	6785427	6787967	CYP722A1	cytochrome P450, family 722, subfamily A, polypeptide 1 [Source:EMBL;Acc:AEE29875.1]	1
CARHR020160	AT1G19640	6788885	6791846	JMT	jasmonic acid carboxyl methyltransferase [Source:EMBL;Acc:AEE29876.1]	1
CARHR020170	AT1G19650	6796202	6799764	AT1G19650	sec.4-like phosphatidylinositol transfer protein [Source:EMBL;Acc:AEE29878.1]	1
CARHR020180	AT1G19660	6799981	6802685	AT1G19660	putative wound-responsive protein [Source:EMBL;Acc:AEE29880.1]	1
CARHR020190	AT1G19670	6803611	6805044	ATCLH1	chlorophyllase 1 [Source:EMBL;Acc:AEE29881.1]	1
CARHR020200	AT1G19680	6805457	6807862	AT1G19680	RING/U-box domain-containing protein [Source:EMBL;Acc:AEE29882.1]	1
CARHR020210	AT1G19690	6807715	6809569	AT1G19690	nucleoside-diphosphate-sugar epimerase domain-containing protein [Source:EMBL;Acc:AEE29883.1]	1
CARHR020220	AT1G19700	6809724	6812663	BLH10	BEL1-like homeodomain 10 [Source:EMBL;Acc:AEE29886.1]	1
CARHR020230	AT1G19710	6814793	6816876	AT1G19710	glycosyl transferase family protein [Source:EMBL;Acc:AEE29887.1]	1
CARHR020250	AT1G19720	6819564	6822711	AT1G19720	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AEE29891.1]	1
CARHR020260	AT1G19730	6822864	6824071	ATH4	thioredoxin H4 [Source:EMBL;Acc:AEE29892.1]	1
CARHR020270	AT1G19740	6824322	6825459	AT1G19740	ATP-dependent protease La domain-containing protein [Source:EMBL;Acc:AEE29893.1]	1
CARHR020280	AT1G19770	6832347	6833837	PUP14	purine permease 14 [Source:EMBL;Acc:AEE29895.1]	1
CARHR020300	AT1G19790	6838120	6840293	SRS7	SHI-related sequence 7 protein [Source:EMBL;Acc:AEE29898.1]	1
CARHR020310	AT1G19800	6846369	6848103	TGD1	trigalactosyldiacylglycerol 1 [Source:EMBL;Acc:AEE29901.1]	1
CARHR020320	AT1G19830	6852155	6852872	AT1G19830	SAUR-like auxin-responsive protein [Source:EMBL;Acc:AEE29902.1]	1
CARHR020330	AT1G19835	6855952	6860443	AT1G19835	filament-like plant protein 4 [Source:EMBL;Acc:AEE29904.1]	1
CARHR020340	AT1G19840	6872794	6873255	AT1G19840	SAUR-like auxin-responsive protein [Source:EMBL;Acc:AEE29905.1]	1
CARHR020350	AT1G19850	6886879	6891374	MP	auxin response factor 5 [Source:EMBL;Acc:AEE29906.1]	1
CARHR020360	AT1G19860	6891429	6894736	AT1G19860	zinc finger CCCH domain-containing protein 6 [Source:EMBL;Acc:AEE29907.1]	1
CARHR020370	AT1G19870	6895015	6898725	iqd32	protein IQ-domain 32 [Source:EMBL;Acc:AEE29908.1]	1
CARHR020380	AT1G19880	6900415	6904069	AT1G19880	regulator of chromosome condensation (RCC1) family protein [Source:EMBL;Acc:AEE29909.1]	1
CARHR020390	AT1G19900	6906899	6908741	AT1G19900	glyoxal oxidase-related protein [Source:EMBL;Acc:AEE29911.1]	1
